,hs_code,Indent,Description
0,4401,0,Fuel wood &&  in logs &&  in billets &&  in twigs &&  in faggots or in similar forms; wood in chips or particles; sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms
1,4401.10.00.00,1,Fuel wood &&  in logs &&  in billets &&  in twigs &&  in faggots or in similar forms
2,,1,Wood in chips or particles
3,4401.21.00.00,2,Coniferous
4,4401.22.00.00,2,Nonconiferous
5,,1,Sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms
6,4401.31.00.00,2,Wood pellets
7,4401.39,2,Other
8,4401.39.20.00,3,Artificial fire logs composed of wax && sawdust &&  with or without added materials
9,4401.39.40,3,Other
10,4401.39.40.10,4,Sawdust not agglomerated
11,4401.39.40.20,4,Shavings
12,4401.39.40.90,4,Other
13,4402,0,Wood charcoal (including shell or nut charcoal) &&  whether or not agglomerated
14,4402.10.00.00,1,Of bamboo
15,4402.90.00.00,1,Other
16,4403,0,Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared
17,4403.10.00,1,Treated with paint &&  stain &&  creosote or other preservatives
18,,2,Poles &&  piles && posts
19,4403.10.00.20,3,Telephone &&  telegraph && electrical power poles
20,4403.10.00.40,3,Fence posts
21,4403.10.00.50,3,Other
22,4403.10.00.60,2,Other
23,4403.20.00,1,Other &&  coniferous
24,,2,Pulpwood
25,4403.20.00.04,3,Balsam &&  fir or spruce
26,4403.20.00.08,3,Other
27,,2,Poles &&  piles && posts
28,4403.20.00.12,3,Telephone &&  telegraph && electrical power poles
29,4403.20.00.15,3,Fence posts
30,4403.20.00.16,3,Other
31,,2,Logs && timber
32,,3,Pine (<u>Pinus</u> spp.)
33,4403.20.00.20,4,Southern yellow pine (Loblolly pine (<u>Pinus</u> <u>taeda</u>)) &&  long leaf pine (<u>Pinus</u> <u>palustris</u>) &&  pitch pine (<u>Pinus</u> <u>rigida</u>) &&  short leaf pine (<u>Pinus</u> <u>echinada</u>) &&  slash pine (<u>Pinus</u> <u>elliottii</u>) && Virginia pine (<u>Pinus</u> <u>virginiana</u>)
34,4403.20.00.25,4,Ponderosa pine (<u>Pinus</u> <u>ponderosa</u>)
35,4403.20.00.30,4,Other
36,4403.20.00.35,3,Spruce (<u>Picea</u> spp.)
37,4403.20.00.40,3,Douglas-fir (<u>Pseudotsuga</u> <u>menziesii</u>)
38,4403.20.00.42,3,Other fir; balsam
39,4403.20.00.50,3,Western hemlock (<u>Tsugo</u> <u>meterophylla</u>)
40,4403.20.00.52,3,Other hemlock
41,4403.20.00.55,3,Western red cedar (<u>Thuja</u> <u>plicata</u>)
42,4403.20.00.57,3,Other cedar
43,4403.20.00.64,3,Other
44,4403.20.00.65,2,Other
45,,1,Other &&  of tropical wood specified in subheading note 2 to this chapter
46,4403.41.00.00,2,Dark Red Meranti &&  Light Red Meranti && Meranti Bakau
47,4403.49.00.00,2,Other
48,,1,Other
49,4403.91.00,2,Of oak (<u>Quercus</u> spp.)
50,4403.91.00.20,3,Of red oak
51,4403.91.00.40,3,Other
52,4403.92.00.00,2,Of beech (<u>Fagus</u> spp.)
53,4403.99.00,2,Other
54,,3,Pulpwood
55,4403.99.00.22,4,Of poplar &&  aspen or cottonwood
56,4403.99.00.24,4,Other
57,,3,Poles &&  piles && posts
58,4403.99.00.26,4,Of poplar &&  aspen or cottonwood
59,4403.99.00.27,4,Of birch
60,4403.99.00.29,4,Other
61,,3,Other
62,4403.99.00.30,4,Of birch (<u>Betula</u> spp.)
63,4403.99.00.40,4,Of ash (<u>Fraxinus</u> spp.)
64,4403.99.00.50,4,Of western red alder (<u>Alnus</u> <u>rubra</u>)
65,4403.99.00.55,4,Of cherry (<u>Prunus</u> spp.)
66,4403.99.00.60,4,Of maple (<u>Acer</u> spp.)
67,4403.99.00.65,4,Of yellow poplar (<u>Liriodendron</u> <u>tulipifera</u>)
68,4403.99.00.67,4,Of other poplar; of aspen or cottonwood
69,4403.99.00.70,4,Of walnut (<u>Juglans</u> spp.)
70,4403.99.00.75,4,Of paulownia (<u>Paulownia</u> spp.)
71,4403.99.00.91,4,Other
72,4404,0,Hoopwood; split poles; piles &&  pickets && stakes of wood &&  pointed but not sawn lengthwise; wooden sticks &&  roughly trimmed but not turned &&  bent or otherwise worked &&  suitable for the manufacture of walking-sticks &&  umbrellas &&  tool handles or the like; chipwood && the like
73,4404.10.00,1,Coniferous
74,4404.10.00.40,2,Fence pickets &&  palings && rails
75,4404.10.00.80,2,Poles &&  piles && posts
76,4404.10.00.90,2,Other
77,4404.20.00,1,Nonconiferous
78,4404.20.00.40,2,Fence pickets &&  palings && rails
79,4404.20.00.80,2,Poles &&  piles && posts
80,4404.20.00.90,2,Other
81,4405.00.00.00,0,Wood wool (excelsior); wood flour
82,4406,0,Railway or tramway sleepers (cross-ties) of wood
83,4406.10.00.00,1,Not impregnated
84,4406.90.00.00,1,Other
85,4407,0,Wood sawn or chipped lengthwise &&  sliced or peeled &&  whether or not planed &&  sanded or end-jointed &&  of a thickness exceeding 6 mm
86,4407.10.01,1,Coniferous
87,4407.10.01.01,2,Finger-jointed
88,,2,Other
89,4407.10.01.02,3,Treated with paint &&  stain &&  creosote &&  or other preservative
90,,3,Not treated
91,4407.10.01.15,4,"Mixtures of spruce &&  pine &&  && fir (""S-P-F"")"
92,4407.10.01.16,4,"Mixtures of western hemlock && amabilis fir (""hem-fir"")"
93,,4,Other
94,,5,Sitka spruce (<u>Picea</u> <u>sitchensis</u>)
95,4407.10.01.17,6,Rough
96,4407.10.01.18,6,Other
97,,5,Other spruce
98,4407.10.01.19,6,Rough
99,4407.10.01.20,6,Other
100,,5,Eastern white pine (<u>Pinus</u> <u>Strobus</u>) && red pine (<u>Pinus</u> <u>resinosa</u>)
101,4407.10.01.42,6,Rough
102,4407.10.01.43,6,Other
103,,5,Lodgepole pine (<u>Pinus</u> <u>contorta</u>)
104,4407.10.01.44,6,Rough
105,4407.10.01.45,6,Other
106,,5,Southern yellow pine (Loblolly pine (<u>Pinus</u> <u>taeda</u>)) &&  long leaf pine (<u>Pinus</u> <u>palustris</u>) &&  pitch pine (<u>Pinus</u> <u>rigida</u>) &&  short leaf pine (<u>Pinus</u> <u>echinata</u>) &&  slash pine (<u>Pinus</u> <u>elliottii</u>) && Virginia pine (<u>Pinus</u> <u>virginiana</u>)
107,4407.10.01.46,6,Rough
108,4407.10.01.47,6,Other
109,,5,Ponderosa pine (<u>Pinus</u> <u>ponderosa</u>)
110,4407.10.01.48,6,Rough
111,4407.10.01.49,6,Other
112,,5,Other pine
113,4407.10.01.52,6,Rough
114,4407.10.01.53,6,Other
115,,5,Douglas-fir (<u>Pseudotsuga</u> <u>menziesii</u>)
116,,6,Rough
117,4407.10.01.54,7,Having a minimum dimension less than 5.1 cm
118,4407.10.01.55,7,Having a minimum dimension 5.1 cm or more but less than 12.7 cm
119,4407.10.01.56,7,Having a minimum dimension 12.7 cm or more
120,4407.10.01.57,6,Other
121,,5,Fir (<u>Abies</u> spp.)
122,4407.10.01.58,6,Rough
123,4407.10.01.59,6,Other
124,,5,Hemlock (<u>Tsuga</u> spp.)
125,4407.10.01.64,6,Rough
126,4407.10.01.65,6,Other
127,,5,Larch (<u>Larix</u> spp.)
128,4407.10.01.66,6,Rough
129,4407.10.01.67,6,Other
130,,5,Western red cedar
131,4407.10.01.68,6,Rough
132,4407.10.01.69,6,Other
133,,5,Yellow cedar (<u>Chamaecyparis</u> <u>nootkanensis</u>)
134,4407.10.01.74,6,Rough
135,4407.10.01.75,6,Other
136,,5,Other cedar (<u>Thuja</u> spp. &&  <u>Juniperus</u> spp. &&  <u>Chamaecyparis</u> spp. &&  <u>Cupressus</u> spp. && <u>Libocedrus</u> spp.)
137,4407.10.01.76,6,Rough
138,4407.10.01.77,6,Other
139,,5,Redwood (<u>Sequoia</u> <u>sempervirens</u>)
140,4407.10.01.82,6,Rough
141,4407.10.01.83,6,Other
142,,5,Other
143,4407.10.01.92,6,Rough
144,4407.10.01.93,6,Other
145,,1,Of tropical wood specified in subheading note 2 to this chapter
146,4407.21.00.00,2,Mahogany (<u>Swietenia</u> spp.)
147,4407.22.00,2,Virola &&  Imbuia && Balsa
148,4407.22.00.06,3,Balsa (<u>Ochroma</u> <u>lagopus</u>)
149,4407.22.00.91,3,Other
150,4407.25.00.00,2,Dark Red Meranti &&  Light Red Meranti && Meranti Bakau
151,4407.26.00.00,2,White Lauan &&  White Meranti &&  White Seraya &&  Yellow Meranti && Alan
152,4407.27.00.00,2,Sapelli
153,4407.28.00.00,2,Iroko
154,4407.29.01,2,Other
155,4407.29.01.06,3,Acajou d'Afrique (<u>Khaya</u> spp.) &&  also known as African mahogany
156,4407.29.01.11,3,Aningre (<u>Aningeria</u> spp.) &&  also known as Aniegre or Anegre
157,4407.29.01.16,3,Keruing (<u>Dipterocarpus</u> spp.)
158,4407.29.01.21,3,Ip̩ (<u>Tabebuia </u>spp.)
159,4407.29.01.31,3,Teak (<u>Tectona</u> <u>grandis</u>)
